Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize,Opponent
828000,83.30%,80.56%,0.0100,24.39600301393272,0.6658,25947528,maxbp
829000,81.20%,80.56%,0.0100,24.288534670307786,0.6241,25948978,maxbp
830000,83.80%,80.57%,0.0100,24.057239024553333,0.6756,25950458,maxbp
831000,81.70%,80.57%,0.0100,23.6314093727928,0.6345,25951824,maxbp
832000,82.70%,80.57%,0.0100,23.82049249947186,0.6538,25953165,maxbp
833000,84.00%,80.58%,0.0100,23.077990888874595,0.6801,25954648,maxbp
834000,82.90%,80.58%,0.0100,23.30036023762492,0.6573,25955940,maxbp
835000,80.20%,80.58%,0.0100,24.46242055137647,0.6037,25957332,maxbp
836000,82.50%,80.58%,0.0100,24.71974568325377,0.6503,25958736,maxbp
837000,82.20%,80.58%,0.0100,24.649853319613555,0.6439,25960049,maxbp
838000,80.90%,80.58%,0.0100,24.50815270945096,0.6180,25961383,maxbp
839000,83.10%,80.59%,0.0100,24.55716370576611,0.6623,25962726,maxbp
840000,82.40%,80.59%,0.0100,24.27198583976756,0.6479,25964072,maxbp
841000,82.50%,80.59%,0.0100,23.852217239194957,0.6496,25965429,maxbp
842000,79.80%,80.59%,0.0100,24.004827133026907,0.5959,25966805,maxbp
843000,82.60%,80.59%,0.0100,23.226328499705666,0.6521,25968291,maxbp
844000,82.70%,80.60%,0.0100,23.336321701624357,0.6544,25969530,maxbp
845000,82.40%,80.60%,0.0100,23.822995048640884,0.6476,25970966,maxbp
846000,83.30%,80.61%,0.0100,24.185791912871217,0.6664,25972425,maxbp
847000,82.00%,80.61%,0.0100,24.45620904585232,0.6402,25973726,maxbp
848000,82.10%,80.61%,0.0100,24.786965921466184,0.6418,25975064,maxbp
849000,82.30%,80.61%,0.0100,24.84245237116264,0.6459,25976392,maxbp
850000,83.40%,80.61%,0.0100,24.641693334645097,0.6677,25977886,maxbp
851000,82.80%,80.62%,0.0100,23.69146615483855,0.6563,25979222,maxbp
852000,82.70%,80.62%,0.0100,23.956563410067186,0.6541,25980558,maxbp
